Activity_Type,Heart rate___beats/minute,Sleep type duration_minutes,Sleep duration_minutes,Calories burned_kcal,Exercise duration_s,Floors climbed___floors,Code
Running,142,,,32,33565,,LA11836-6
Running,94,,,140,13236,,LA11836-6
Running,172,,,9,12821,,LA11836-6
Running,154,,,9,17985,,LA11836-6
Running,155,,,9,23355,,LA11836-6
Running,150,,,51,22955,,LA11836-6
Running,141,,,32,20371,,LA11836-6
Walking,110,,,132,101539,,370
Running,148,,,10,76017,,LA11836-6
Running,152,,,10,27588,,LA11836-6
Running,130,,,37,109959,,LA11836-6
Running,114,,,144,73569,,LA11836-6
Running,108,,,161,50084,,LA11836-6
Running,168,,,126,121124,,LA11836-6
Running,133,,,9,10897,,LA11836-6
Running,153,,,9,11296,,LA11836-6
Running,154,,,9,12227,,LA11836-6
Running,121,,,113,23647,,LA11836-6
Running,151,,,11,83945,,LA11836-6
Running,109,,,148,46629,,LA11836-6
Running,150,,,11,10164,,LA11836-6
Running,134,,,99,11995,,LA11836-6
Running,152,,,11,70513,,LA11836-6
Running,150,,,10,22312,,LA11836-6
Running,111,,,156,44227,,LA11836-6
Running,145,,,11,9576,,LA11836-6
Running,135,,,17,10440,,LA11836-6
Running,141,,,94,10452,,LA11836-6
Running,89,,,141,108733,,LA11836-6
Running,122,,,143,28244,,LA11836-6
Running,120,,,126,45524,,LA11836-6
Running,108,,,90,42244,,LA11836-6
Running,146,,,133,31469,,LA11836-6
Running,168,,,10,10407,,LA11836-6
Running,155,,,8,10556,,LA11836-6
Running,144,,,34,137146,,LA11836-6
Running,143,,,10,9101,,LA11836-6
Running,114,,,125,47742,,LA11836-6
Running,153,,,8,10721,,LA11836-6
Walking,121,,,161,80776,,370
Running,171,,,153,121100,,LA11836-6
Running,171,,,25,43642,,LA11836-6
Running,157,,,10,10565,,LA11836-6
Running,148,,,10,11181,,LA11836-6
Running,173,,,16,19932,,LA11836-6
Running,159,,,9,9368,,LA11836-6
Running,151,,,7,7844,,LA11836-6
Running,110,,,133,100723,,LA11836-6
Running,156,,,112,10642,,LA11836-6
Running,123,,,143,49749,,LA11836-6
Running,88,,,166,102600,,LA11836-6
Running,147,,,10,60250,,LA11836-6
Running,137,,,91,10513,,LA11836-6
Running,109,,,159,46811,,LA11836-6
Walking,119,,,147,52560,,370
Running,109,,,20,49161,,LA11836-6
Running,137,,,9,11191,,LA11836-6
Running,140,,,144,34905,,LA11836-6
Running,142,,,34,15805,,LA11836-6
Running,173,,,126,19170,,LA11836-6
Running,147,,,9,11967,,LA11836-6
Running,151,,,10,38216,,LA11836-6
Running,143,,,140,38792,,LA11836-6
Running,163,,,10,8774,,LA11836-6
Running,149,,,9,11031,,LA11836-6
Running,111,,,149,47797,,LA11836-6
Running,121,,,108,43923,,LA11836-6
Running,161,,,9,14382,,LA11836-6
Running,143,,,9,8961,,LA11836-6
Running,120,,,20,19534,,LA11836-6
Running,140,,,55,11829,,LA11836-6
Running,153,,,130,27198,,LA11836-6
Running,118,,,28,44118,,LA11836-6
Running,120,,,34,21083,,LA11836-6
Running,153,,,10,16950,,LA11836-6
Running,145,,,144,88984,,LA11836-6
Running,107,,,121,46837,,LA11836-6
Running,136,,,8,7333,,LA11836-6
Walking,123,,,126,48347,,370
Running,141,,,10,12386,,LA11836-6
Running,154,,,9,12477,,LA11836-6
Running,113,,,18,44513,,LA11836-6
Running,146,,,10,11488,,LA11836-6
Running,148,,,8,84141,,LA11836-6
Running,120,,,107,19156,,LA11836-6
Running,152,,,131,118365,,LA11836-6
Running,152,,,10,11305,,LA11836-6
Running,158,,,10,10846,,LA11836-6
Running,164,,,9,11951,,LA11836-6
Running,149,,,9,94166,,LA11836-6
Running,168,,,34,23291,,LA11836-6
Running,94,,,55,68862,,LA11836-6
Running,157,,,117,25863,,LA11836-6
Running,155,,,10,12085,,LA11836-6
Running,152,,,8,7156,,LA11836-6
Running,109,,,147,128529,,LA11836-6
Running,146,,,9,10916,,LA11836-6
Running,108,,,10,26906,,LA11836-6
Running,163,,,9,10134,,LA11836-6
Running,154,,,9,11792,,LA11836-6
Running,159,,,19,59783,,LA11836-6
Running,119,,,133,121695,,LA11836-6
Running,169,,,32,50007,,LA11836-6
Running,159,,,9,45172,,LA11836-6
Running,155,,,9,12956,,LA11836-6
Running,151,,,9,9954,,LA11836-6
Running,146,,,10,10158,,LA11836-6
Running,153,,,11,10625,,LA11836-6
Running,172,,,143,47424,,LA11836-6
Running,157,,,36,122298,,LA11836-6
Running,160,,,9,11023,,LA11836-6
Running,154,,,66,13356,,LA11836-6
Running,159,,,113,49317,,LA11836-6
Running,149,,,9,7935,,LA11836-6
Running,148,,,9,11122,,LA11836-6
Running,146,,,10,9560,,LA11836-6
Running,149,,,36,26004,,LA11836-6
Running,153,,,9,10383,,LA11836-6
Walking,89,,,150,50403,,370
Running,160,,,8,25560,,LA11836-6
Running,129,,,119,46531,,LA11836-6
Running,170,,,10,13689,,LA11836-6
Running,118,,,10,10460,,LA11836-6
Running,147,,,10,10029,,LA11836-6
Running,141,,,140,9036,,LA11836-6
Walking,118,,,68,37772,,370
Running,124,,,10,42574,,LA11836-6
Running,172,,,121,115405,,LA11836-6
Running,156,,,9,12013,,LA11836-6
Running,94,,,123,32130,,LA11836-6
Walking,167,,,29,47457,,370
Running,167,,,150,32993,,LA11836-6
Running,126,,,18,33318,,LA11836-6
Running,131,,,148,136433,,LA11836-6
Running,136,,,140,52076,,LA11836-6
Running,108,,,148,39097,,LA11836-6
Running,146,,,11,10995,,LA11836-6
Running,163,,,107,19698,,LA11836-6
Walking,169,,,33,79889,,370
Running,109,,,117,86088,,LA11836-6
Running,111,,,113,45045,,LA11836-6
Running,142,,,10,11782,,LA11836-6
Running,96,,,35,19152,,LA11836-6
Running,169,,,19,61012,,LA11836-6
Running,154,,,10,9455,,LA11836-6
Running,112,,,124,32340,,LA11836-6
Running,172,,,151,19504,,LA11836-6
Running,121,,,171,51169,,LA11836-6
Running,123,,,118,50590,,LA11836-6
Running,147,,,21,105878,,LA11836-6
Running,153,,,35,21727,,LA11836-6
Running,131,,,32,45350,,LA11836-6
Running,152,,,10,11615,,LA11836-6
Running,144,,,115,18875,,LA11836-6
Running,167,,,68,70434,,LA11836-6
Running,161,,,130,46064,,LA11836-6
Running,175,,,10,95228,,LA11836-6
Running,159,,,31,9448,,LA11836-6
Running,165,,,31,99465,,LA11836-6
Running,94,,,100,52889,,LA11836-6
Running,119,,,111,32536,,LA11836-6
Running,163,,,55,10861,,LA11836-6
Running,155,,,9,10492,,LA11836-6
Running,143,,,128,9691,,LA11836-6
Running,150,,,9,10110,,LA11836-6
Running,158,,,20,15746,,LA11836-6
Running,121,,,157,16738,,LA11836-6
Running,155,,,9,12356,,LA11836-6
Running,171,,,34,8987,,LA11836-6
Running,153,,,9,10519,,LA11836-6
Running,90,,,49,48710,,LA11836-6
Running,155,,,125,87064,,LA11836-6
Running,149,,,10,22100,,LA11836-6
Walking,109,,,139,48617,,370
Running,119,,,36,85302,,LA11836-6
Running,147,,,11,10830,,LA11836-6
Running,144,,,161,19131,,LA11836-6
Running,128,,,8,9673,,LA11836-6
Running,150,,,10,11631,,LA11836-6
Running,152,,,9,10361,,LA11836-6
Running,154,,,138,18535,,LA11836-6
Running,151,,,10,16484,,LA11836-6
Running,125,,,92,14885,,LA11836-6
Running,146,,,150,106907,,LA11836-6
Running,117,,,124,126339,,LA11836-6
Running,124,,,30,21142,,LA11836-6
Running,157,,,10,49575,,LA11836-6
Running,168,,,9,13234,,LA11836-6
Running,91,,,19,20697,,LA11836-6
Running,150,,,7,8879,,LA11836-6
Running,92,,,30,33544,,LA11836-6
Running,146,,,9,8086,,LA11836-6
Running,147,,,10,9326,,LA11836-6
Running,135,,,109,63611,,LA11836-6
Running,142,,,10,9623,,LA11836-6
Running,156,,,9,4869,,LA11836-6
Running,114,,,57,50674,,LA11836-6
Running,149,,,11,9749,,LA11836-6
Walking,118,,,55,18279,,370
Running,162,,,9,22266,,LA11836-6
Running,118,,,115,76055,,LA11836-6
Running,171,,,99,9379,,LA11836-6
Running,154,,,10,10789,,LA11836-6
Running,155,,,9,11621,,LA11836-6
Running,158,,,20,25854,,LA11836-6
Running,125,,,144,64697,,LA11836-6
Running,169,,,9,11101,,LA11836-6
Walking,157,,,9,32597,,370
Running,145,,,10,10556,,LA11836-6
Running,150,,,119,17565,,LA11836-6
Walking,128,,,151,22012,,370
Running,120,,,126,48431,,LA11836-6
Running,159,,,10,37075,,LA11836-6
Running,127,,,21,15864,,LA11836-6
Running,121,,,9,10948,,LA11836-6
Running,158,,,115,9797,,LA11836-6
Running,152,,,31,34433,,LA11836-6
Running,112,,,9,16964,,LA11836-6
Running,143,,,10,110509,,LA11836-6
Running,152,,,11,21135,,LA11836-6
Running,146,,,9,9654,,LA11836-6
Running,120,,,47,20422,,LA11836-6
Running,169,,,21,82086,,LA11836-6
Running,112,,,124,50786,,LA11836-6
Running,120,,,120,48630,,LA11836-6
Running,154,,,11,10676,,LA11836-6
Walking,108,,,143,50793,,370
Running,109,,,115,19074,,LA11836-6
Running,156,,,161,12695,,LA11836-6
Walking,165,,,58,88060,,370
Running,149,,,9,11729,,LA11836-6
Running,154,,,22,45840,,LA11836-6
Running,107,,,116,47739,,LA11836-6
Running,166,,,114,28407,,LA11836-6
Running,164,,,10,9533,,LA11836-6
Running,169,,,19,13304,,LA11836-6
Running,119,,,33,103152,,LA11836-6
Running,119,,,57,103397,,LA11836-6
Running,170,,,134,9418,,LA11836-6
Running,110,,,117,45467,,LA11836-6
Running,107,,,147,42167,,LA11836-6
Running,112,,,104,67037,,LA11836-6
Running,151,,,118,22884,,LA11836-6
Running,166,,,10,13152,,LA11836-6
Running,159,,,50,88365,,LA11836-6
Running,111,,,10,90517,,LA11836-6
Running,152,,,11,19468,,LA11836-6
Running,159,,,10,10155,,LA11836-6
Running,167,,,9,9410,,LA11836-6
Running,107,,,150,44404,,LA11836-6
Running,112,,,115,82063,,LA11836-6
Running,117,,,142,17193,,LA11836-6
Running,120,,,145,127638,,LA11836-6
Running,162,,,9,10987,,LA11836-6
Running,141,,,10,11630,,LA11836-6
Running,121,,,136,47164,,LA11836-6
Running,168,,,8,11790,,LA11836-6
Running,93,,,20,49749,,LA11836-6
Walking,113,,,130,29045,,370
Running,132,,,11,45661,,LA11836-6
Running,111,,,34,45015,,LA11836-6
Running,160,,,9,18941,,LA11836-6
Running,141,,,30,101671,,LA11836-6
Running,154,,,10,9246,,LA11836-6
Running,129,,,59,45439,,LA11836-6
Running,143,,,22,49597,,LA11836-6
Running,170,,,113,96269,,LA11836-6
Running,148,,,9,93957,,LA11836-6
Running,117,,,128,116113,,LA11836-6
Running,93,,,119,22082,,LA11836-6
Running,117,,,136,15635,,LA11836-6
Running,151,,,141,87263,,LA11836-6
Running,138,,,9,10788,,LA11836-6
Running,171,,,10,25894,,LA11836-6
Running,153,,,10,11654,,LA11836-6
Running,118,,,20,44805,,LA11836-6
Running,121,,,115,81769,,LA11836-6
Running,172,,,118,87489,,LA11836-6
Running,108,,,150,38729,,LA11836-6
Running,154,,,10,21069,,LA11836-6
Running,107,,,151,84666,,LA11836-6
Running,112,,,157,18533,,LA11836-6
Running,121,,,100,43762,,LA11836-6
Running,151,,,9,18137,,LA11836-6
Running,132,,,132,43608,,LA11836-6
Walking,110,,,118,133565,,370
Running,159,,,29,34777,,LA11836-6
Running,138,,,36,87563,,LA11836-6
Running,156,,,8,12561,,LA11836-6
Walking,118,,,9,44523,,370
Running,158,,,54,15348,,LA11836-6
Running,118,,,11,9204,,LA11836-6
Running,148,,,8,7761,,LA11836-6
Running,155,,,8,7678,,LA11836-6
Running,128,,,144,20578,,LA11836-6
Running,119,,,141,35190,,LA11836-6
Running,110,,,88,33802,,LA11836-6
Running,120,,,58,10138,,LA11836-6
Running,125,,,9,20133,,LA11836-6
Running,152,,,110,21888,,LA11836-6
Running,125,,,37,14777,,LA11836-6
Running,121,,,20,23500,,LA11836-6
Walking,166,,,139,23801,,370
Running,150,,,9,8162,,LA11836-6
Running,94,,,121,74720,,LA11836-6
Running,109,,,120,48901,,LA11836-6
Running,163,,,10,9487,,LA11836-6
Running,167,,,34,40566,,LA11836-6
Running,121,,,38,12159,,LA11836-6
Running,120,,,105,16380,,LA11836-6
Running,144,,,10,29718,,LA11836-6
Running,158,,,116,19850,,LA11836-6
Running,111,,,125,135001,,LA11836-6
Running,142,,,9,9983,,LA11836-6
Running,148,,,10,7377,,LA11836-6
Running,163,,,10,12897,,LA11836-6
Running,147,,,8,8582,,LA11836-6
Running,119,,,122,117975,,LA11836-6
Running,161,,,11,12374,,LA11836-6
Running,120,,,143,44550,,LA11836-6
Walking,92,,,116,44833,,370
Running,165,,,8,11953,,LA11836-6
Running,163,,,10,11749,,LA11836-6
Running,137,,,10,44011,,LA11836-6
Running,111,,,124,45404,,LA11836-6
Running,158,,,9,12681,,LA11836-6
Running,121,,,146,44066,,LA11836-6
Running,165,,,60,21576,,LA11836-6
Running,149,,,9,11584,,LA11836-6
Running,110,,,50,87560,,LA11836-6
Running,111,,,32,93608,,LA11836-6
Running,164,,,10,11973,,LA11836-6
Running,161,,,9,10642,,LA11836-6
Running,121,,,143,80740,,LA11836-6
Running,168,,,19,117752,,LA11836-6
Running,113,,,114,21320,,LA11836-6
Running,147,,,20,22121,,LA11836-6
Running,164,,,9,16263,,LA11836-6
Running,119,,,127,42672,,LA11836-6
Running,118,,,126,27365,,LA11836-6
Running,170,,,33,24035,,LA11836-6
Running,145,,,10,8523,,LA11836-6
Running,173,,,19,19324,,LA11836-6
Running,152,,,9,8418,,LA11836-6
Running,120,,,36,20147,,LA11836-6
Running,140,,,105,43906,,LA11836-6
Walking,112,,,22,93361,,370
Running,150,,,9,11079,,LA11836-6
Running,139,,,135,7933,,LA11836-6
Running,148,,,11,9453,,LA11836-6
Running,121,,,147,22939,,LA11836-6
Running,174,,,20,16088,,LA11836-6
Running,151,,,10,17391,,LA11836-6
Running,137,,,109,56088,,LA11836-6
Running,170,,,16,116871,,LA11836-6
Running,130,,,36,80099,,LA11836-6
Running,140,,,10,93718,,LA11836-6
Running,143,,,8,7951,,LA11836-6
Running,159,,,9,11776,,LA11836-6
Running,138,,,10,8206,,LA11836-6
Running,138,,,10,10310,,LA11836-6
Running,161,,,9,10806,,LA11836-6
Running,171,,,135,86813,,LA11836-6
Running,151,,,10,9083,,LA11836-6
Running,168,,,16,10152,,LA11836-6
Running,150,,,10,12470,,LA11836-6
Running,131,,,37,14913,,LA11836-6
Running,147,,,10,7453,,LA11836-6
Walking,137,,,119,16584,,370
Running,148,,,10,13787,,LA11836-6
Running,120,,,118,33352,,LA11836-6
Running,148,,,10,12944,,LA11836-6
Running,148,,,10,13195,,LA11836-6
Running,139,,,139,89229,,LA11836-6
Running,157,,,10,9864,,LA11836-6
Running,120,,,139,8635,,LA11836-6
Running,173,,,10,106544,,LA11836-6
Running,169,,,141,25745,,LA11836-6
Running,149,,,118,118194,,LA11836-6
Running,148,,,10,10279,,LA11836-6
Running,166,,,10,9399,,LA11836-6
Running,131,,,31,58896,,LA11836-6
Running,167,,,19,21244,,LA11836-6
Running,120,,,131,130974,,LA11836-6
Running,147,,,10,11926,,LA11836-6
Running,161,,,34,16432,,LA11836-6
Running,161,,,119,44450,,LA11836-6
Running,151,,,9,23564,,LA11836-6
Running,110,,,115,46461,,LA11836-6
Running,118,,,156,132900,,LA11836-6
Running,112,,,18,46919,,LA11836-6
Running,173,,,115,89641,,LA11836-6
Running,171,,,9,11132,,LA11836-6
Running,167,,,30,21193,,LA11836-6
Running,171,,,7,11207,,LA11836-6
Running,151,,,11,9826,,LA11836-6
Walking,89,,,148,46293,,370
Running,140,,,9,11705,,LA11836-6
Running,133,,,9,25819,,LA11836-6
Running,151,,,105,9784,,LA11836-6
Running,168,,,31,120057,,LA11836-6
Running,119,,,21,12986,,LA11836-6
Running,132,,,137,13590,,LA11836-6
Running,145,,,11,8923,,LA11836-6
Running,111,,,114,46435,,LA11836-6
Running,129,,,158,22576,,LA11836-6
Running,155,,,11,11915,,LA11836-6
Running,146,,,10,20531,,LA11836-6
Running,111,,,129,42604,,LA11836-6
Running,148,,,10,10509,,LA11836-6
Running,121,,,123,69722,,LA11836-6
Running,154,,,8,8633,,LA11836-6
Running,128,,,38,46522,,LA11836-6
Running,111,,,137,124731,,LA11836-6
Running,162,,,10,19127,,LA11836-6
Running,131,,,147,33838,,LA11836-6
Running,151,,,10,10966,,LA11836-6
Running,93,,,122,33351,,LA11836-6
Running,159,,,9,48479,,LA11836-6
Running,163,,,10,10386,,LA11836-6
Running,167,,,10,10779,,LA11836-6
Running,122,,,22,115908,,LA11836-6
Running,110,,,10,18865,,LA11836-6
Running,149,,,8,9663,,LA11836-6
Running,124,,,131,125342,,LA11836-6
Running,122,,,56,19161,,LA11836-6
Running,148,,,122,34336,,LA11836-6
Running,171,,,11,21968,,LA11836-6
Running,173,,,153,47529,,LA11836-6
Walking,167,,,138,95193,,370
Running,159,,,9,11794,,LA11836-6
Running,170,,,9,8839,,LA11836-6
Running,120,,,11,9520,,LA11836-6
Running,109,,,120,18896,,LA11836-6
Running,93,,,11,65396,,LA11836-6
Running,134,,,10,97282,,LA11836-6
Running,113,,,118,19903,,LA11836-6
Running,109,,,120,47649,,LA11836-6
Running,142,,,10,10017,,LA11836-6
Running,138,,,10,9404,,LA11836-6
Running,121,,,9,26631,,LA11836-6
Running,157,,,10,47649,,LA11836-6
Running,160,,,10,10066,,LA11836-6
Running,117,,,136,89233,,LA11836-6
Running,152,,,10,10196,,LA11836-6
Running,120,,,10,110541,,LA11836-6
Running,150,,,9,13586,,LA11836-6
Running,157,,,11,11638,,LA11836-6
Running,122,,,151,28849,,LA11836-6
Running,154,,,144,9964,,LA11836-6
Running,156,,,9,8850,,LA11836-6
Running,153,,,9,21389,,LA11836-6
Running,122,,,31,12342,,LA11836-6
Running,122,,,133,107390,,LA11836-6
Running,160,,,111,10971,,LA11836-6
Running,134,,,10,10908,,LA11836-6
Running,127,,,54,45895,,LA11836-6
Running,164,,,8,20531,,LA11836-6
Running,121,,,10,14591,,LA11836-6
Walking,167,,,153,70247,,370
Running,147,,,9,16267,,LA11836-6
Running,113,,,113,41441,,LA11836-6
Running,122,,,9,12086,,LA11836-6
Running,110,,,120,47168,,LA11836-6
Walking,162,,,121,27205,,370
Running,168,,,34,9408,,LA11836-6
Running,92,,,146,43403,,LA11836-6
Running,120,,,122,42790,,LA11836-6
Running,166,,,10,8063,,LA11836-6
Running,146,,,10,10165,,LA11836-6
Running,155,,,9,10895,,LA11836-6
Running,157,,,10,34752,,LA11836-6
Running,120,,,33,49311,,LA11836-6
Running,158,,,10,9678,,LA11836-6
Running,166,,,9,45497,,LA11836-6
Running,151,,,11,15239,,LA11836-6
Running,159,,,27,102275,,LA11836-6
Running,122,,,112,63647,,LA11836-6
Running,113,,,152,36399,,LA11836-6
Running,150,,,95,12803,,LA11836-6
Running,129,,,11,12101,,LA11836-6
Running,162,,,32,20566,,LA11836-6
Running,163,,,10,19314,,LA11836-6
Running,164,,,9,10935,,LA11836-6
Running,149,,,36,27921,,LA11836-6
Running,120,,,118,131785,,LA11836-6
Running,165,,,10,12222,,LA11836-6
Running,119,,,121,33090,,LA11836-6
Running,150,,,9,9680,,LA11836-6
Running,151,,,155,22030,,LA11836-6
Running,106,,,126,48060,,LA11836-6
Running,151,,,8,13161,,LA11836-6
Running,151,,,11,10795,,LA11836-6
Walking,93,,,122,46408,,370
Running,143,,,116,20718,,LA11836-6
Running,172,,,165,48196,,LA11836-6
Running,152,,,10,18540,,LA11836-6
Walking,120,,,145,50374,,370
Running,130,,,31,43543,,LA11836-6
Running,155,,,11,11904,,LA11836-6
Running,119,,,10,10841,,LA11836-6
Running,166,,,10,11869,,LA11836-6
Running,160,,,10,10603,,LA11836-6
Running,111,,,121,42778,,LA11836-6
Running,91,,,128,50364,,LA11836-6
Walking,126,,,150,46939,,370
Running,151,,,10,11749,,LA11836-6
Walking,91,,,150,16647,,370
Running,122,,,128,20377,,LA11836-6
Running,134,,,128,138556,,LA11836-6
Running,111,,,11,35184,,LA11836-6
Running,175,,,8,6607,,LA11836-6
Running,140,,,31,45437,,LA11836-6
Running,141,,,135,102803,,LA11836-6
Running,151,,,9,70241,,LA11836-6
Running,119,,,9,8756,,LA11836-6
Walking,109,,,154,122865,,370
Running,150,,,7,10690,,LA11836-6
Running,93,,,59,18345,,LA11836-6
Running,109,,,153,135713,,LA11836-6
Walking,110,,,20,48435,,370
Running,158,,,118,41791,,LA11836-6
Running,137,,,17,50482,,LA11836-6
Running,166,,,54,36863,,LA11836-6
Running,110,,,93,99590,,LA11836-6
Running,107,,,21,22506,,LA11836-6
Running,150,,,7,9768,,LA11836-6
Running,109,,,131,52403,,LA11836-6
Running,158,,,10,31433,,LA11836-6
Running,108,,,141,50154,,LA11836-6
Running,121,,,117,53773,,LA11836-6
Running,151,,,138,24326,,LA11836-6
Running,122,,,111,99769,,LA11836-6
Walking,91,,,153,45167,,370
Running,166,,,8,20058,,LA11836-6
Running,150,,,18,94505,,LA11836-6
Running,108,,,151,99960,,LA11836-6
Running,129,,,150,15555,,LA11836-6
Running,153,,,10,10771,,LA11836-6
Running,153,,,10,7596,,LA11836-6
Running,165,,,10,12057,,LA11836-6
Running,111,,,160,43511,,LA11836-6
Running,157,,,8,10724,,LA11836-6
Running,144,,,11,100748,,LA11836-6
Running,118,,,20,23560,,LA11836-6
Running,143,,,30,24495,,LA11836-6
Running,156,,,10,12155,,LA11836-6
Running,150,,,8,12230,,LA11836-6
Running,169,,,144,105222,,LA11836-6
Running,149,,,9,10749,,LA11836-6
Running,130,,,11,96985,,LA11836-6
Running,109,,,151,94926,,LA11836-6
Running,122,,,30,25806,,LA11836-6
Running,110,,,149,46431,,LA11836-6
Running,165,,,9,11449,,LA11836-6
Running,145,,,9,10599,,LA11836-6
Running,162,,,9,12161,,LA11836-6
Running,90,,,11,10596,,LA11836-6
Running,118,,,11,11965,,LA11836-6
Running,96,,,126,93420,,LA11836-6
Running,174,,,62,17729,,LA11836-6
Running,169,,,9,20515,,LA11836-6
Running,121,,,145,48357,,LA11836-6
Running,111,,,122,49311,,LA11836-6
Running,112,,,124,135301,,LA11836-6
Running,120,,,118,97821,,LA11836-6
Running,166,,,9,14855,,LA11836-6
Running,129,,,33,45946,,LA11836-6
Running,153,,,8,10734,,LA11836-6
Running,174,,,149,19743,,LA11836-6
Running,162,,,9,30195,,LA11836-6
Running,157,,,131,56382,,LA11836-6
Running,170,,,28,27211,,LA11836-6
Running,160,,,11,47066,,LA11836-6
Running,146,,,124,15807,,LA11836-6
Running,151,,,8,11217,,LA11836-6
Running,161,,,10,27257,,LA11836-6
Running,111,,,119,88819,,LA11836-6
Running,168,,,20,19671,,LA11836-6
Running,174,,,121,95354,,LA11836-6
Running,156,,,9,46618,,LA11836-6
Running,169,,,17,47465,,LA11836-6
Running,148,,,11,12327,,LA11836-6
Running,121,,,152,81017,,LA11836-6
Running,156,,,10,15804,,LA11836-6
Running,155,,,10,99755,,LA11836-6
Running,117,,,148,46680,,LA11836-6
Running,119,,,38,81262,,LA11836-6
Walking,138,,,152,17208,,370
Running,153,,,55,125787,,LA11836-6
Running,139,,,10,34529,,LA11836-6
Running,131,,,9,11332,,LA11836-6
Running,111,,,156,87027,,LA11836-6
Running,140,,,11,12131,,LA11836-6
Walking,156,,,10,10736,,370
Running,108,,,151,39738,,LA11836-6
Running,159,,,9,11699,,LA11836-6
Running,164,,,9,12731,,LA11836-6
Running,165,,,9,11333,,LA11836-6
Running,111,,,145,89356,,LA11836-6
Running,170,,,113,22546,,LA11836-6
Running,143,,,10,18647,,LA11836-6
Running,96,,,149,92629,,LA11836-6
Running,132,,,32,10255,,LA11836-6
Running,119,,,121,87582,,LA11836-6
Running,143,,,21,32540,,LA11836-6
Running,158,,,9,13146,,LA11836-6
Walking,111,,,121,49702,,370
Running,164,,,29,29521,,LA11836-6
Running,154,,,10,13970,,LA11836-6
Running,171,,,116,30352,,LA11836-6
Running,146,,,120,86863,,LA11836-6
Running,121,,,120,72019,,LA11836-6
Running,152,,,8,13054,,LA11836-6
Running,167,,,22,29232,,LA11836-6
Running,153,,,44,21830,,LA11836-6
Running,131,,,8,11188,,LA11836-6
Running,146,,,33,96309,,LA11836-6
Running,151,,,8,10166,,LA11836-6
Running,154,,,9,13047,,LA11836-6
Running,125,,,112,86820,,LA11836-6
Running,148,,,8,8735,,LA11836-6
Running,165,,,9,10760,,LA11836-6
Running,163,,,10,12594,,LA11836-6
Running,160,,,10,11952,,LA11836-6
Running,109,,,154,44428,,LA11836-6
Running,145,,,9,17860,,LA11836-6
Running,126,,,136,19350,,LA11836-6
Running,142,,,116,11449,,LA11836-6
Running,136,,,10,11008,,LA11836-6
Running,161,,,9,8893,,LA11836-6
Running,149,,,10,11405,,LA11836-6
Running,159,,,9,9612,,LA11836-6
Running,110,,,122,45237,,LA11836-6
Running,172,,,30,20557,,LA11836-6
Walking,111,,,21,48217,,370
Running,159,,,9,11565,,LA11836-6
Running,152,,,11,9284,,LA11836-6
Walking,108,,,113,46024,,370
Running,135,,,29,96078,,LA11836-6
Running,137,,,9,9562,,LA11836-6
Running,120,,,29,24137,,LA11836-6
Running,142,,,19,39068,,LA11836-6
Running,161,,,10,11088,,LA11836-6
Running,168,,,11,24664,,LA11836-6
Running,164,,,8,8201,,LA11836-6
Walking,121,,,121,47850,,370
Walking,109,,,143,97741,,370
Running,171,,,53,48942,,LA11836-6
Running,153,,,10,9089,,LA11836-6
Running,155,,,11,12800,,LA11836-6
Running,171,,,118,22799,,LA11836-6
Running,146,,,116,43976,,LA11836-6
Running,114,,,52,50834,,LA11836-6
Running,160,,,19,23026,,LA11836-6
Running,146,,,28,14010,,LA11836-6
Running,120,,,36,88356,,LA11836-6
Running,94,,,34,12629,,LA11836-6
Running,118,,,18,18731,,LA11836-6
Running,96,,,23,126043,,LA11836-6
Walking,108,,,149,46371,,370
Running,135,,,11,7843,,LA11836-6
Running,133,,,109,117761,,LA11836-6
Walking,165,,,144,21933,,370
Running,92,,,142,130837,,LA11836-6
Running,109,,,108,81318,,LA11836-6
Running,139,,,10,48598,,LA11836-6
Running,98,,,10,23206,,LA11836-6
Running,107,,,40,22735,,LA11836-6
Running,94,,,144,35991,,LA11836-6
Running,159,,,17,19835,,LA11836-6
Running,141,,,114,28678,,LA11836-6
Running,123,,,59,20937,,LA11836-6
Running,142,,,9,52917,,LA11836-6
Running,144,,,9,10057,,LA11836-6
Walking,109,,,115,88305,,370
Running,110,,,150,94479,,LA11836-6
Running,95,,,155,24169,,LA11836-6
Running,151,,,9,9006,,LA11836-6
Running,148,,,9,12231,,LA11836-6
Running,120,,,58,24989,,LA11836-6
Running,110,,,126,12462,,LA11836-6
Running,144,,,116,43316,,LA11836-6
Running,161,,,11,13593,,LA11836-6
Running,152,,,11,16435,,LA11836-6
Running,155,,,77,10843,,LA11836-6
Running,153,,,10,12899,,LA11836-6
Running,150,,,9,11363,,LA11836-6
Running,134,,,10,9372,,LA11836-6
Running,162,,,10,6748,,LA11836-6
Running,146,,,9,9435,,LA11836-6
Running,127,,,8,8886,,LA11836-6
Running,124,,,142,93356,,LA11836-6
Running,110,,,124,99324,,LA11836-6
Running,110,,,58,126594,,LA11836-6
Running,133,,,156,51171,,LA11836-6
Running,161,,,112,9774,,LA11836-6
Walking,109,,,118,46595,,370
Running,111,,,115,29926,,LA11836-6
Running,159,,,9,16959,,LA11836-6
Walking,142,,,10,9360,,370
Running,128,,,105,47612,,LA11836-6
Running,169,,,38,20381,,LA11836-6
Running,149,,,11,10966,,LA11836-6
Running,107,,,140,47187,,LA11836-6
